"name","bibref"
"Bruno Galantucci","roberts2015communication"
"Seán G Roberts","roberts2015future"
"James Winters","roberts2015future"
"M Keith Chen","roberts2015future"
"Monica Tamariz","tamariz2015culture"
"Simon Kirby","tamariz2015culture"
"Caela F Welsh","welsh2015relationship"
"Matthew Whelpton","whelpton2015semantics"
"Þórhalla Guðmundsdóttir Beck","whelpton2015semantics"
"Fiona M Jordan","whelpton2015semantics"
"Bernd Würsig","wursig2015dolphin"
"Heidi C Pearson","wursig2015dolphin"
"Antonio Benítez-Burraco","benitez2016language"
"Wanda Lattanzi","benitez2016language"
"Elliot Murphy","benitez2016language"
"Christian Bentz","bentz2016learning"
"Aleksandrs Berdicevskis","bentz2016learning"
"Andreea S Calude","calude2016typology"
"Annemarie Verkerk","calude2016typology"
"Maryia Fedzechkina","evolang11_101"
"Becky Chu","evolang11_101"
"T Florian Jaeger","evolang11_101"
"John Trueswell","evolang11_101"
"Eva Zehentner","evolang11_110"
"Andreas Baumann","evolang11_110"
"Nikolaus Ritt","evolang11_110"
"Christina Prömer","evolang11_110"
"Anu Vastenius","evolang11_116"
"Jordan Zlatev","evolang11_116"
"Joost Van de Weijer","evolang11_116"
"Christine Cuskley","evolang11_119"
"Vittorio Loreto","evolang11_119"
"Federica Cavicchio","evolang11_132"
"Livnat Leemor","evolang11_132"
"Simone Shamay-Tsoory","evolang11_132"
"Wendy Sandler","evolang11_132"
"Christine Cuskley","evolang11_133"
"Bernardo Monechi","evolang11_133"
"Pietro Gravino","evolang11_133"
"Vittorio Loreto","evolang11_133"
"Rie Asano","evolang11_146"
"Lluis Barcelo-Coblijn","evolang11_148"
"David Ardell","evolang11_165"
"Noelle Anderson","evolang11_165"
"Bodo Winter","evolang11_165"
"Megan Broadway","evolang11_166"
"Jamie Klaus","evolang11_166"
"Billie Serafin","evolang11_166"
"Heidi Lyn","evolang11_166"
"Richard A Blythe","evolang11_19"
"Alistair H Jones","evolang11_19"
"Jessica Renton","evolang11_19"
"Rie Asano","evolang11_200"
"Edward Ruoyang Shi","evolang11_200"
"Greg Bryant","evolang11_203"
"Cory Cuthbertson","evolang11_26"
"Ekaterina Abramova","evolang11_37"
"Jennifer Culbertson","evolang11_39"
"Simon Kirby","evolang11_39"
"Marieke Schouwstra","evolang11_39"
"Cedric Boeckx","evolang11_41"
"Constantina Theofanopoulou","evolang11_41"
"Antonio Benítez-Burraco","evolang11_41"
"Mark Atkinson","evolang11_48"
"Kenny Smith","evolang11_48"
"Simon Kirby","evolang11_48"
"Dan Dediu","evolang11_57"
"Scott R Moisik","evolang11_57"
"Jon W Carr","evolang11_74"
"Kenny Smith","evolang11_74"
"Hannah Cornish","evolang11_74"
"Simon Kirby","evolang11_74"
"Ted Bayne","evolang11_78"
"Alfredo Ardila","evolang11_8"
"Aleksandrs Berdicevskis","evolang11_85"
"Hanne Eckhoff","evolang11_85"
"Christian Bentz","evolang11_93"
"Dedre Gentner","gentner2016language"
"William L Hamilton","hamilton2016diachronic"
"Jure Leskovec","hamilton2016diachronic"
"Dan Jurafsky","hamilton2016diachronic"
"Sayuri Hayakawa","hayakawa2016using"
"Albert Costa","hayakawa2016using"
"Alice Foucart","hayakawa2016using"
"Boaz Keysar","hayakawa2016using"
"Molly L Lewis","lewis2016length"
"Michael C Frank","lewis2016length"
"Michael Muthukrishna","muthukrishna2016innovation"
"Joseph Henrich","muthukrishna2016innovation"
"Johanna Nichols","nichols2016"
"L Perry","perry2016early"
"MARCUS PERLMAN","perry2016early"
"GARY LUPYAN","perry2016early"
"BODO WINTER","perry2016early"
"D Massaro","perry2016early"
"Terry Regier","regier2016languages"
"Alexandra Carstensen","regier2016languages"
"Charles Kemp","regier2016languages"
"Shane L Rogers","rogers2016stick"
"Nicolas Fay","rogers2016stick"
"Matthew Spike","spike2016minimal"
"Kenny Smith","spike2016minimal"
"Simon Kirby","spike2016minimal"
"Kim Sterelny","sterelny2016cumulative"
"Monica Tamariz","tamariz2016cultural"
"Simon Kirby","tamariz2016cultural"
"Tessa Verhoef","verhoef2016iconicity"
"Simon Kirby","verhoef2016iconicity"
"Bart de Boer","verhoef2016iconicity"
"Antonio Benitez-Burraco","benitez2017schizophrenia"
"Lorena Di Pietro","benitez2017schizophrenia"
"Marta Barba","benitez2017schizophrenia"
"Wanda Lattanzi","benitez2017schizophrenia"
"Christian Bentz","Bentz2017"
"Dimitrios Alikaniotis","Bentz2017"
"Michael Cysouw","Bentz2017"
