"name","bibref"
"Lluis Barcelo-Coblijn","evolang11_148"
"David Ardell","evolang11_165"
"Noelle Anderson","evolang11_165"
"Bodo Winter","evolang11_165"
"Megan Broadway","evolang11_166"
"Jamie Klaus","evolang11_166"
"Billie Serafin","evolang11_166"
"Heidi Lyn","evolang11_166"
"Richard A Blythe","evolang11_19"
"Alistair H Jones","evolang11_19"
"Jessica Renton","evolang11_19"
"Rie Asano","evolang11_200"
"Edward Ruoyang Shi","evolang11_200"
"Greg Bryant","evolang11_203"
"Cory Cuthbertson","evolang11_26"
"Ekaterina Abramova","evolang11_37"
"Jennifer Culbertson","evolang11_39"
"Simon Kirby","evolang11_39"
"Marieke Schouwstra","evolang11_39"
"Cedric Boeckx","evolang11_41"
"Constantina Theofanopoulou","evolang11_41"
"Antonio Benítez-Burraco","evolang11_41"
"Mark Atkinson","evolang11_48"
"Kenny Smith","evolang11_48"
"Simon Kirby","evolang11_48"
"Dan Dediu","evolang11_57"
"Scott Moisik","evolang11_57"
"Jon W Carr","evolang11_74"
"Kenny Smith","evolang11_74"
"Hannah Cornish","evolang11_74"
"Simon Kirby","evolang11_74"
"Ted Bayne","evolang11_78"
"Alfredo Ardila","evolang11_8"
"Aleksandrs Berdicevskis","evolang11_85"
"Hanne Eckhoff","evolang11_85"
"Christian Bentz","evolang11_93"
"William L Hamilton","hamilton2016diachronic"
"Jure Leskovec","hamilton2016diachronic"
"Dan Jurafsky","hamilton2016diachronic"
"Johanna Nichols","nichols2016"
"Terry Regier","regier2016languages"
"Alexandra Carstensen","regier2016languages"
"Charles Kemp","regier2016languages"
"Shane L Rogers","rogers2016stick"
"Nicolas Fay","rogers2016stick"
"Monica Tamariz","tamariz2016cultural"
"Simon Kirby","tamariz2016cultural"
"Tessa Verhoef","verhoef2016iconicity"
"Simon Kirby","verhoef2016iconicity"
"Bart de Boer","verhoef2016iconicity"
"Christian Bentz","Bentz2017"
"Dimitrios Alikaniotis","Bentz2017"
"Michael Cysouw","Bentz2017"
"Ramon Ferrer-i-Cancho","Bentz2017"
"Damian Blasi","Blasi_Moran_SLE_2017"
"Steve Moran","Blasi_Moran_SLE_2017"
"Ani Margvelashvili","Blasi_Moran_SLE_2017"
"Dan Dediu","Blasi_Moran_SLE_2017"
"Scott Moisik","Blasi_Moran_SLE_2017"
"Caleb Everett","Everett2017"
"Ellen C Garland","garland2017song"
"Luke E Rendell","garland2017song"
"Luca Lamoni","garland2017song"
"M Michael Poole","garland2017song"
"Michael J Noad","garland2017song"
"Kevin N Laland","laland2017origins"
"Hannah Little","little2017conventionalisation"
"Kerem Eryılmaz","little2017conventionalisation"
"Bart de Boer","little2017conventionalisation"
"Hannah Little","little2017signal"
"Kerem Eryılmaz","little2017signal"
"Bart de Boer","little2017signal"
"Arto Mustajoki","mustajoki_2017"
"Marieke Olthof","olthof2017transparency"
"Alexandra Simonenko","simonenko2017taraldsen"
"Benoıt Crabbé","simonenko2017taraldsen"
"Sophie Prévost","simonenko2017taraldsen"
"Christina Skelton","skelton_2017"
"Peeter Tinits","tinits2017usage"
"Jonas Nölle","tinits2017usage"
"Stefan Hartmann","tinits2017usage"
"Peter Trudgill","trudgill_2017"
"Monika Abels","abels2018speech"
"Paul Vogt","abels2018speech"
"Raffaela Baechler","baechler2018absolute"
"Mellissa MC DeMille","demille2018worldwide"
"Kevin Tang","demille2018worldwide"
"Chintan M Mehta","demille2018worldwide"
"Christopher Geissler","demille2018worldwide"
"Jeffrey G Malins","demille2018worldwide"
"Natalie R Powers","demille2018worldwide"
"Beatrice M Bowen","demille2018worldwide"
"Andrew K Adams","demille2018worldwide"
"Dongnhu T Truong","demille2018worldwide"
"Jan C Frijters","demille2018worldwide"
"Jeffrey R Gruen","demille2018worldwide"
"Didier Demolin","demolin2018acoustic"
"Alexandre Celma-Miralles","evolang12CelmaMiralles"
"Juan M Toro","evolang12CelmaMiralles"
"Tania Delgado","evolang12Delago"
"Andrea Ravignani","evolang12Delago"
"Tessa Verhoef","evolang12Delago"
"Bill Thompson","evolang12Delago"
"Thomas Grossi","evolang12Delago"
"Simon Kirby","evolang12Delago"
"Andrew Feeney","evolang12Feeney"
"Marco Gamba","evolang12Gamba"
"Valeria Torti","evolang12Gamba"
"Daria Valente","evolang12Gamba"
"Chiara De Gregorio","evolang12Gamba"
"Olivier Friard","evolang12Gamba"
"Cristina Giacoma","evolang12Gamba"
